시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율
종로구,사직동,25308.006033870966,1.0,29.0,2201.444122446237,11.496092849156124,56.0,10.0,447.0,27.0,1.0,28.0,9355,1808,5.174225663716814
종로구,삼청동,6084.941764784947,1.0,29.0,590.9469748655914,10.296933605877149,19.0,4.0,190.0,16.0,0.0,16.0,2642,626,4.220447284345048
종로구,부암동,14174.375957526883,1.0,29.0,1684.2346487903228,8.41591518599111,58.0,16.0,385.0,34.0,0.0,34.0,9536,1814,5.256890848952591
종로구,평창동,17494.976655107526,3.0,29.0,2491.826054973118,7.0209461933314055,56.0,22.0,716.0,54.0,0.0,54.0,17858,3495,5.109585121602289
종로구,무악동,6495.619953897849,3.0,29.0,914.819717204301,7.100437202805963,88.0,20.0,219.0,3.0,0.0,3.0,8052,1476,5.455284552845528
종로구,교남동,7255.245085215053,0.0,29.0,837.1808034946237,8.666282187706239,55.0,18.0,371.0,24.0,0.0,24.0,9994,1656,6.035024154589372
종로구,가회동,6932.127118682795,1.0,29.0,660.4304458333334,10.496377267913223,19.0,8.0,221.0,23.0,0.0,23.0,4065,840,4.839285714285714
종로구,종로1.2.3.4가동,63479.18694865592,0.0,29.0,5680.621316263441,11.174690833010994,404.0,19.0,688.0,71.0,17.0,88.0,8700,1757,4.951622083096186
종로구,종로5.6가동,16377.681546639784,0.0,29.0,2011.7329104838711,8.141081483177878,124.0,32.0,333.0,18.0,2.0,20.0,5817,1068,5.446629213483146
종로구,이화동,25813.05464637097,1.0,29.0,2102.1154408602147,12.27956093401222,100.0,40.0,316.0,20.0,1.0,21.0,7631,1358,5.619293078055964
종로구,창신1동,8612.088151209677,0.0,29.0,1151.0007177419354,7.482261321352698,201.0,15.0,328.0,6.0,3.0,9.0,5383,1188,4.531144781144781
종로구,창신2동,8480.381361424732,0.0,29.0,1209.3214107526883,7.012512377620517,209.0,34.0,416.0,2.0,1.0,3.0,8796,1848,4.759740259740259
종로구,창신3동,4774.395129435484,0.0,29.0,545.6665432795699,8.749657072138548,77.0,7.0,225.0,5.0,1.0,6.0,6606,1253,5.272146847565842
종로구,숭인1동,7167.646789919355,0.0,29.0,920.2927451612904,7.788442131707942,116.0,25.0,265.0,10.0,4.0,14.0,6057,1212,4.997524752475248
종로구,숭인2동,12363.813021908602,0.0,29.0,1506.3653822580645,8.20771186561328,218.0,37.0,456.0,9.0,4.0,13.0,10509,1723,6.099245502031341
종로구,청운효자동,18327.989951747317,0.0,29.0,1867.368875403226,9.814873854417064,72.0,23.0,454.0,32.0,0.0,32.0,11818,2154,5.486536675951718
종로구,혜화동,33607.955730107526,0.0,29.0,2186.1834032258066,15.372889429366976,128.0,19.0,619.0,37.0,1.0,38.0,19392,2682,7.230425055928412
중구,소공동,27907.641096774198,0.0,29.0,1309.5202950268817,21.311346760151824,17.0,0.0,53.0,32.0,5.0,37.0,3578,318,11.251572327044025
중구,회현동,26546.049150000003,0.0,29.0,2445.5076657258064,10.855025940849528,213.0,8.0,259.0,36.0,10.0,46.0,5222,1323,3.947089947089947
