행정구,행정동,전체인구,65세이상 인구
종로구,사직동,9355,1787
종로구,삼청동,2642,596
종로구,부암동,9536,1808
종로구,평창동,17858,3474
종로구,무악동,8052,1476
종로구,교남동,9994,1648
종로구,가회동,4065,837
종로구,종로1.2.3.4가동,8700,1706
종로구,종로5.6가동,5817,1058
종로구,이화동,7631,1352
종로구,창신1동,5383,1176
종로구,창신2동,8796,1809
종로구,창신3동,6606,1250
종로구,숭인1동,6057,1206
종로구,숭인2동,10509,1709
종로구,청운효자동,11818,2137
종로구,혜화동,19392,2675
중구,소공동,3578,258
중구,회현동,5222,1250
중구,명동,3638,733
중구,필동,4816,876
중구,장충동,5326,855
중구,광희동,6682,1090
중구,을지로동,1912,454
중구,신당5동,10513,1860
중구,황학동,13459,2035
중구,중림동,12338,2187
중구,신당동,9087,1486
중구,다산동,13954,2807
중구,약수동,16610,3980
중구,청구동,13451,2840
중구,동화동,10199,1949
용산구,후암동,16812,2972
용산구,용산2가동,10333,2014
용산구,남영동,7552,1544
용산구,원효로2동,13795,2328
용산구,효창동,10888,1576
용산구,용문동,11664,2167
용산구,이촌1동,25707,4262
용산구,이촌2동,8094,1786
용산구,이태원1동,7947,1292
용산구,이태원2동,10427,1809
용산구,서빙고동,13458,2112
용산구,보광동,14060,2643
용산구,청파동,19833,3206
용산구,원효로1동,17774,2049
용산구,한강로동,22886,3131
용산구,한남동,22054,3587
성동구,왕십리2동,16688,2648
성동구,마장동,22706,4030
성동구,사근동,14082,1516
성동구,행당1동,13996,2190
성동구,행당2동,23148,4003
성동구,응봉동,15100,2536
성동구,금호1가동,15137,2745
성동구,금호4가동,14228,2505
성동구,성수1가1동,16407,2392
성동구,성수1가2동,12322,1962
성동구,성수2가1동,15716,2934
성동구,성수2가3동,10520,1827
성동구,송정동,10464,1840
성동구,용답동,12551,2176
성동구,왕십리도선동,26903,3952
성동구,금호2.3가동,22423,3980
성동구,옥수동,25843,4294
광진구,화양동,27082,2332
광진구,군자동,21524,3159
광진구,중곡1동,15663,2619
광진구,중곡2동,21336,3410
광진구,중곡3동,16177,2937
광진구,중곡4동,28405,5411
광진구,능동,11561,1668
광진구,구의1동,24049,3312
광진구,구의2동,26573,4502
광진구,구의3동,28440,4368
광진구,광장동,34362,3986
광진구,자양1동,22709,3621
광진구,자양2동,24253,4196
광진구,자양3동,27858,4467
광진구,자양4동,21260,3749
동대문구,회기동,13536,1552
동대문구,휘경1동,16339,2164
