,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,경도,위도,행정동
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,37.67840229405546,127.0493166588111,도봉2동
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,37.68621292929983,127.0493166588111,도봉2동
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,37.674496976433275,127.04541134118892,도봉2동
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,37.68230761167764,127.04541134118892,도봉2동
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,37.4947317039935,126.8886892960065,구로2동
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,37.491058519967495,126.8831795199675,구로2동
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,,,37.4984048880195,126.8813429279545,구로2동
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,,,37.503914664058506,126.8776697439285,구로2동
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,,,37.494827039719915,126.96103884034234,상도1동
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,,,,37.49874591978216,126.95320108021784,상도1동
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,,,,37.50658367990664,126.95320108021784,상도1동
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,3.0,,,,37.5026647998444,126.9492822001556,상도1동
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,,,,,37.47903558491889,127.039952252854,양재1동
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,,,,,37.484903252854,127.03701841888645,양재1동
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,,,,,37.47023408301622,127.02821691698378,양재1동
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,3.0,,,,,37.45849874714601,127.01648158111357,양재1동
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,37.52560344978152,126.86260660960676,신정4동
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,1.0,,,,,,37.52298571004369,126.86173402969416,신정4동
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2.0,,,,,,37.52124055021847,126.85649855021848,신정4동
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,3.0,,,,,,37.5238582899563,126.85300823056804,신정4동
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,,,,,,,37.55651906648917,126.96154838504714,공덕동
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,,,,,,,37.54715565927898,126.95780302216306,공덕동
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.0,,,,,,,37.55277370360509,126.95593034072104,공덕동
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,3.0,,,,,,,37.54528297783694,126.95218497783696,공덕동
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,,,,,,,,37.56722188684357,126.91239552896646,성산2동
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0,,,,,,,,37.56885766053071,126.90585243421786,성산2동
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,2.0,,,,,,,,37.57376498159215,126.90094511315644,성산2동
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,3.0,,,,,,,,37.56722188684357,126.89930933946928,성산2동
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,,,,,,,,,37.4662667803198,127.1064807803198,세곡동
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1.0,,,,,,,,,37.47385790159901,127.1064807803198,세곡동
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.0,,,,,,,,,37.4662667803198,127.1026852196802,세곡동
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,3.0,,,,,,,,,37.4662667803198,127.095094098401,세곡동
32,32.0,32.0,32.0,32.0,32.0,32.0,0.0,,,,,,,,,,37.50472304647815,127.13899432534704,오금동
33,33.0,33.0,33.0,33.0,33.0,33.0,1.0,,,,,,,,,,37.497592581696665,127.13614213943444,오금동
34,34.0,34.0,34.0,34.0,34.0,34.0,2.0,,,,,,,,,,37.50614913943445,127.13328995352184,오금동
35,35.0,35.0,35.0,35.0,35.0,35.0,3.0,,,,,,,,,,37.50187086056555,127.12758558169668,오금동
36,36.0,36.0,36.0,36.0,36.0,0.0,,,,,,,,,,,37.5509114849513,127.14002915496212,암사1동
37,37.0,37.0,37.0,37.0,37.0,1.0,,,,,,,,,,,37.54629115496212,127.13540882497294,암사1동
38,38.0,38.0,38.0,38.0,38.0,2.0,,,,,,,,,,,37.55553181494048,127.13078849498376,암사1동
39,39.0,39.0,39.0,39.0,39.0,3.0,,,,,,,,,,,37.5509114849513,127.12616816499458,암사1동
40,40.0,40.0,40.0,40.0,0.0,,,,,,,,,,,,37.54673337151977,127.13308765084432,천호2동
41,41.0,41.0,41.0,41.0,1.0,,,,,,,,,,,,37.54304151118205,127.1293957905066,천호2동
42,42.0,42.0,42.0,42.0,2.0,,,,,,,,,,,,37.550425231857496,127.1293957905066,천호2동
43,43.0,43.0,43.0,43.0,3.0,,,,,,,,,,,,37.539349650844315,127.12570393016888,천호2동
44,44.0,44.0,44.0,0.0,,,,,,,,,,,,,37.67552216826721,127.05588656634656,상계1동
45,45.0,45.0,45.0,1.0,,,,,,,,,,,,,37.67032277018785,127.05415343365344,상계1동
46,46.0,46.0,46.0,2.0,,,,,,,,,,,,,37.68072156634656,127.05415343365344,상계1동
47,47.0,47.0,47.0,3.0,,,,,,,,,,,,,37.689387229812155,127.05415343365344,상계1동
48,48.0,48.0,0.0,,,,,,,,,,,,,,37.62217268119831,127.0702776811983,월계3동
49,49.0,49.0,1.0,,,,,,,,,,,,,,37.61727795640508,127.0678303188017,월계3동
50,50.0,50.0,2.0,,,,,,,,,,,,,,37.62706740599154,127.06538295640507,월계3동
51,51.0,51.0,3.0,,,,,,,,,,,,,,37.63196213078477,127.06048823161186,월계3동
52,52.0,0.0,,,,,,,,,,,,,,,37.59237652810623,127.0359509165259,종암동
53,53.0,1.0,,,,,,,,,,,,,,,37.59786163884196,127.03457963884198,종암동
54,54.0,2.0,,,,,,,,,,,,,,,37.601975471893766,127.0318370834741,종암동
55,55.0,3.0,,,,,,,,,,,,,,,37.5992329165259,127.02909452810624,종암동
56,0.0,,,,,,,,,,,,,,,,37.67473086634128,127.04533337788624,도봉1동
57,1.0,,,,,,,,,,,,,,,,37.69097584325135,127.04533337788624,도봉1동
58,2.0,,,,,,,,,,,,,,,,37.67066962211376,127.04127213365872,도봉1동
59,3.0,,,,,,,,,,,,,,,,37.6787921105688,127.04127213365872,도봉1동
0,,,,,,,,,,,,,,,,,37.61775318214903,127.10595943452724,신내1동
1,,,,,,,,,,,,,,,,,37.61247043452724,127.10067668690544,신내1동
2,,,,,,,,,,,,,,,,,37.601904939283656,127.09803531309456,신내1동
3,,,,,,,,,,,,,,,,,37.60718768690545,127.09803531309456,신내1동
